moves,winner
e4 Nf6 Nc3 e5 Nf3 Nc6 Bb5 Nd4 Bc4 Nxf3+ Qxf3 Bb4 a3 Bxc3 dxc3 d6 h3 h6 Be3 Be6 Bxe6 fxe6 g4 d5 exd5 Qxd5 Qxd5 exd5 O-O-O O-O-O f4 exf4 Bxf4 Ne4 Rh2 c6 Be5 Rd7 Rf1 Re7 Bd4 c5 Be3 Rhe8 Bd2 Nxd2 Kxd2 Kc7 Rhf2 Kd6 Rg2 Re6 b3 a5 a4 R8e7 h4 Rg6 h5 Rg5 Rf4 b6 Re2 Rxe2+ Kxe2 Re5+ Kd2 Rg5 Ke3 Re5+ Kd2 Ke7 b4 c4 Rd4 Kd6 Rf4 Re4 Rxe4 dxe4 bxa5 bxa5 Ke2 Ke6 Kf2 Kf6,black
d4 e5 dxe5 Nc6 Nc3 Nxe5 a3 Nf6 f4 Nc6 e3 d5 Be2 Bc5 Na4 Bd6 Nf3 a6 b3 b5 Nc3 O-O b4 Re8 O-O Ne7 Ng5 h6 e4 hxg5 e5 Nf5 g4 Nh4 exd6 Qxd6 f5 Qb6+ Rf2 Bb7 Bxg5 d4 h3 dxc3 Bxh4 Ne4 Bf3 Qh6 Bg3 Nxf2 Bxf2 Rad8 Qc1 Qxc1+ Rxc1 Bxf3 Kh2 Rd2 Kg3 Bd1 Ba7 Bxc2 Kf4 Re4+ Kf3 Rc4 f6 Be4+ Kf4 gxf6 Ke3 Rd3+ Ke2 Rxh3 Be3 Rh2+ Bf2 c2 Ke3 Bg6 a4 bxa4 b5 axb5 Be1 Rh1 Kf2 b4 Kf3 Be4+ Ke2 b3 Bf2 Rxc1 Be3 Rd1 g5 fxg5,black
e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 Nf6 Nc3 e5 Ndb5 d6 Bg5 a6 Na3 b5 Nd5 Be7 Bxf6 Bxf6 c4 Nd4 cxb5 O-O Bd3 axb5 O-O Bd7 Rc1 Bh4 g3 Bg5 f4 exf4 gxf4 Bh3 Rf2 Bh4 Rd2 Be1 Re2 Bg4 Ne3 Qb6 Kh1 Bf3+ Ng2 Nxe2 Bxe2 Qf2,black
e4 e6 d4 d5 Nc3 Bb4 e5 c5 a3 cxd4 axb4 dxc3 Qg4 cxb2 Bxb2 g6 Nf3 Nh6 Qf4 Nf5 Bd3 Nc6 b5 Nce7 g4 g5 Qxg5 Rg8 Qh5 Ng7 Qh6 Ng6 Qxh7 Kd7 b6 Qf8 Ba3 Rh8 Bxf8 Rxh7 Rxa7 Nxf8 Rxa8 Rh3 Nd4 Ng6 Bb5+ Kd8 Nc6+ bxc6 b7 cxb5 bxc8=Q+ Ke7 Ra7#,white
e4 e5 Nf3 Nc6 Bb5 a6 Ba4 d6 O-O Bg4 h3 h5 c3 Qf6 Re1 Bxf3 Qxf3 Qxf3 Bxc6+ bxc6 gxf3 c5 d3 Ne7 f4 exf4 Bxf4 g5 Be3 Rb8 Re2 Kd7 Na3 Bh6 Nc4 f5 f3 f4 Bf2 Nc6 Rd1 g4 hxg4 hxg4 fxg4 f3 Rc2 Rbg8 Kf1 Bf4 Bg1 Rxg4 Nd2 Rxg1+ Kxg1 Be3+,black
e4 e5 Nf3 f5 Nxe5 Qf6 d4 d6 Nd3 fxe4 Nb4 c6 c4 Ne7 Nc3 a5 Nc2 d5 cxd5 cxd5 Bb5+ Bd7 Bxd7+ Nxd7 O-O g6 f3 exf3 Rxf3 Qe6 Qd3 Bg7 Bg5 Nf5 Re1 Bxd4+ Kh1 Be5 Nxd5 O-O Nc7 Qc6 Nxa8 Rxa8 Ne3 Nd4 Rf2 Bg7 Ng4 Qd5 Re7 Qxg5 Rxg7+ Kxg7 Qxd4+ Ne5 Qxe5+ Qxe5 Nxe5 Rc8 h3 Rc5 Nd3 Rd5 Nf4 Rd6 Kh2 b5 Rc2 a4 Rc5 b4 Rc4 b3,white
e4 e5 Nf3 f5 Nxe5 Qf6 d4 d6 Nd3 fxe4 Nb4 c6 c4 Ne7 Nc3 a5 Nc2 d5 cxd5 cxd5 Bb5+ Bd7 Bxd7+ Nxd7 O-O g6 f3 exf3 Rxf3 Qe6 Qd3 Bg7 Bg5 Nf5 Re1 Bxd4+ Kh1 Be5 Nxd5 O-O Nc7 Qc6 Nxa8 Rxa8 Ne3 Nd4 Rf2 Bg7 Ng4 Qd5 Re7 Qxg5 Rxg7+ Kxg7 Qxd4+ Ne5 Qxe5+ Qxe5 Nxe5 Rc8 h3 Rc5 Nd3 Rd5 Nf4 Rd6 Kh2 b5 Rc2 a4 Rc5 b4 Rc4 b3,white
e4 c5 Nf3 d6 c3 Nf6 Be2 Bd7 Qc2 Nc6 O-O e6 Rd1 Be7 d4 cxd4 cxd4 Rc8 Nc3 O-O Bg5 h6 Bf4 Qa5 d5 Nb4 Qd2 e5 Be3 Qc7 Rac1 Qb8 a3 Na6 b4 Nc7 Nxe5 dxe5 d6 Rfe8 dxe7 Rxe7 Bc5 Ree8 Bd6 Qa8 Qe3 b6 f3 Bc6 b5 Bd7 a4 Qb7 Na2 Red8 Nb4 Re8 Nc6 Bxc6 Rxc6 Na8 Rdc1 Rxc6 bxc6 Qc8 c7 Re6 Qd2 Ne8 Bb4 Naxc7 Bc4 Rg6 Rd1 Ne6 Bd5 Nd4 Kh1 Nc7 Rc1 Qd7 Bc4 Nce6 Qa2 Kh7 Rd1 Qd8 Bc3 Qg5 Qf2 Nf4 g3 Nh3 Qf1 Rc6 Bd2 Qh5 Be2 Rf6 Kg2 Nxe2 Qxe2 Ng5 Rf1 Qh3+ Kg1 Ne6 Bc3 Nd4 Bxd4 exd4 e5 Re6 Qe4+ g6 f4 Qf5 Qxd4 Qc2 Qf2 Qc5 Qxc5 bxc5 Rc1 Ra6 Rc4 Kg7 Kf2 Kf8 Ke3 Ke7 Ke4 Ke6 g4 Rb6 f5+ gxf5+ gxf5+ Ke7 Kd5 Rb4 Kxc5 Rb2 h4 Re2 Kd5 Rd2+ Rd4 Rf2 f6+ Ke8 Kd6 Ra2 e6 Rc2 e7 Rb2 Ke5 Rb6 Rd8#,white
e4 c5 Nf3 d6 c3 Nf6 Be2 Bd7 Qc2 Nc6 O-O e6 Rd1 Be7 d4 cxd4 cxd4 Rc8 Nc3 O-O Bg5 h6 Bf4 Qa5 d5 Nb4 Qd2 e5 Be3 Qc7 Rac1 Qb8 a3 Na6 b4 Nc7 Nxe5 dxe5 d6 Rfe8 dxe7 Rxe7 Bc5 Ree8 Bd6 Qa8 Qe3 b6 f3 Bc6 b5 Bd7 a4 Qb7 Na2 Red8 Nb4 Re8 Nc6 Bxc6 Rxc6 Na8 Rdc1 Rxc6 bxc6 Qc8 c7 Re6 Qd2 Ne8 Bb4 Naxc7 Bc4 Rg6 Rd1 Ne6 Bd5 Nd4 Kh1 Nc7 Rc1 Qd7 Bc4 Nce6 Qa2 Kh7 Rd1 Qd8 Bc3 Qg5 Qf2 Nf4 g3 Nh3 Qf1 Rc6 Bd2 Qh5 Be2 Rf6 Kg2 Nxe2 Qxe2 Ng5 Rf1 Qh3+ Kg1 Ne6 Bc3 Nd4 Bxd4 exd4 e5 Re6 Qe4+ g6 f4 Qf5 Qxd4 Qc2 Qf2 Qc5 Qxc5 bxc5 Rc1 Ra6 Rc4 Kg7 Kf2 Kf8 Ke3 Ke7 Ke4 Ke6 g4 Rb6 f5+ gxf5+ gxf5+ Ke7 Kd5 Rb4 Kxc5 Rb2 h4 Re2 Kd5 Rd2+ Rd4 Rf2 f6+ Ke8 Kd6 Ra2 e6 Rc2 e7 Rb2 Ke5 Rb6 Rd8#,white
e4 e5 Nf3 Nc6 Nc3 Nf6 Nxe5 Nxe5 d4 Nc6 d5 Bb4 dxc6 Nxe4 Qd4 Qe7 Be3 O-O cxd7 Bxd7 Bd3 Bc6 a3 Bxc3+ bxc3 Rad8 Qb4 Qe5 O-O-O a5 Qc4 Qxc3 Qxc3 Nxc3 Rde1 Bxg2 Rhg1 Bf3 Bh6 g6 Bxf8 Kxf8 Re3 Bc6 h4 Nd5 Re5 f6 Re4 Kf7 Rge1 Kg7 c4 Nb6 Re7+ Kf8 Kc2 Rd7 Re8+ Kf7 h5 Ba4+ Kb2 gxh5 R8e3 Bc6 Kc2 Kg7 Re7+ Kh6 Rxd7 Bxd7 Re7 h4 c5 Ba4+ Kd2 Nd5 Re4 Bc6 Rxh4+ Kg5 Rxh7 Kf4 Rxc7 Nxc7,black
e4 c5 Nf3 e6 g3 Nc6 Bg2 Nf6 Qe2 e5 c3 d6 d3 Be7 Na3 O-O Nc2 Re8 Ne3 Bf8 O-O d5 exd5 Nxd5 Nxd5 Qxd5 Ng5 Qd7 Qh5 h6 Ne4 Qf5 Qxf5 Bxf5 Be3 Rac8 Nxc5 Bxc5 Bxc5 Bxd3 Rfe1 e4 Bh3 Rcd8 Rad1 Ne5 Bg2 b6 Bd4 Nf3+ Bxf3 exf3 Rxe8+ Rxe8 Be3 Bf5 Rd4 Kh7 Kf1 Kg6 Ke1 h5 h4 Re4 Rxe4 Bxe4 a4 Bc2 a5 bxa5 Bxa7 Kf5 Kd2 Bb3 Ke3 Bd5 Kd4 Ke6 c4 Bc6 b3 Kd6 Bb6 a4 b4 Bd7 b5 Be6 c5+ Kd7 c6+ Kd6 Bc5+ Kc7 Kc3 g6 Kb4 Bb3 Be7 Kb6 Bd8+ Ka7 b6+ Kb8 b7 Ka7 Bc7,white
d4 Nf6 Bg5 g6 Bxf6 exf6 e4 d5 exd5 Qxd5 Nf3 Bb4+ c3 Bd6 h3 Nc6 Bd3 O-O O-O Qh5 Nbd2 f5 d5 Ne5 Nxe5 Qxd1 Raxd1 Bxe5 Nc4 Bf6 f4 Bd7 Ne5 Rad8 Rfe1 Bxe5 fxe5 Rfe8 g3 Re7 Re3 Rde8 Rde1 Kg7 b3 h6 c4 b6 Kg2 a5 h4 Kh7 Kf3 Kg7 a3 Kh7 Kf4 Kg7 a4 Bc8 Bf1 Bd7 Bg2 Kf8 Rd3 Kg7 d6 cxd6 Rxd6 f6 exf6+,white
e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 Nf6 Nc3 e5 Nb3 Bb4 Bg5 O-O Qf3 Nd4 Nxd4 exd4 a3 dxc3 axb4 cxb2 Rb1 d5 Bxf6 gxf6 exd5 Re8+ Be2 Qe7 Rxb2 Qe5 Qg3+ Qxg3 hxg3 Bf5 c3 Rac8 Kd2 Red8 c4 b5 Rh4 bxc4 Bxc4 Rc7 Rb3 Be6 Rd4 Rxc4 Rxc4 Rxd5+ Rd3 Rxd3+ Kxd3 Bxc4+ Kxc4,white
e4 Nf6 Nc3 e5 Nf3 Nc6 d4 exd4 Nxd4 Bb4 Nxc6 Bxc3+ bxc3 bxc6 Bd3 O-O Bg5 h6 Bh4 g5 Bg3 Nxe4 Bxe4 Qe7 Qe2 Re8 O-O Qxe4 Qh5 Re6 f4 Ba6 Rfe1 Be2 Qh3 Qe3+ Bf2 Qxh3 gxh3 gxf4 Rab1 Rg6+,black
d4 Nf6 c4 c6 Bg5 Qa5+ Bd2 Qb6 Bc3 Ne4 Qb3 Nxc3 bxc3 d6 e4 g6 Nd2 Bg7 Ne2 Nd7 f4 e5 fxe5 dxe5 c5 Qxb3 axb3 O-O Ra4 f5 exf5 exd4 cxd4 b5 Ra5 gxf5 b4 Nf6 g3 Nd5 Bg2 Nxb4 O-O Be6 Nf3 Bc4 Rb1 Nc2 Rb2 Bxe2 Rxc2 Bd3 Rd2 Be4 Ne5 Bxe5 Bxe4 fxe4 dxe5 Rfe8 Ra6 Rxe5 Rxc6 Re7 Ra6 e3 Re2 Rc8 c6 b4 Kf1 b3 Rb2 e2+ Ke1 Rf8,black
d4 d5 Bf4 Nf6 e3 Bf5 c4 e6 Nc3 c5 Qb3 cxd4 exd4 Nc6 cxd5 Nxd5 Nxd5 Qxd5 Qxb7 Bb4+ Ke2,black
d4 d5 Bf4 Nf6 e3 c5 c3 Nc6 Nd2 e6 Ngf3 cxd4 exd4 Bd6 Bg3 Bxg3 hxg3 a6 Bd3 h6 Qe2 O-O Ne5 Nxe5 dxe5 Nd7 Nf3 Nc5 Bc2 Qb6 g4 Qxb2 Bh7+ Kxh7 Qxb2 Nd3+,black
d4 Nf6 Nf3 c5 e3 cxd4 exd4 g6 c3 Bg7 Bd3 O-O O-O b6 h3 Bb7 Bg5 d6 Nbd2 Nbd7 Qe2 Re8 Nc4 h6 Bf4 Rc8 a4 Nd5 Bg3 N7f6 a5 b5 Ne3 a6 Nxd5 Bxd5 Nd2 Qc7 f4 Qb7 f5 g5 h4 g4 Rf4 h5 Ne4 Bh6 Ng5 Nh7 Rxg4 hxg4 Nxh7 Bf3 gxf3 gxf3 Qf2 Kxh7 f6+ Kh8 fxe7 Rg8 Re1 Bf4 e8=Q Rcxe8 Rxe8 Rxe8 Bxf4 Qe7 d5 Rg8+ Bg5 f6 Qxf3 fxg5 Qh5+ Kg7 Qh7+ Kf8 Qh6+ Ke8 h5 Rf8 Qe6 Qxe6 dxe6 Ke7 h6 Kxe6 h7 Kf7 Kg2 Kg7 Kg3 Re8 Kg4 Re3 Bf5 Re2 Kxg5 Rxb2,black
e4 c5 Nc3 Nc6 Bc4 Nf6 f4 e6 d3 d5 Bb5 dxe4 dxe4 Qxd1+ Kxd1 Bd7 Nf3 Be7 h3 a6 Bd3 O-O e5 Nd5 Nxd5 exd5 g4 Rae8 c3 c4 Bc2 f6 exf6 gxf6 Be3 Ba3 Kd2 Bxb2 Rab1 Bxc3+ Ke2 d4 Rxb7 Rxe3+ Kf2 Nb8 Rhb1 Bc6 Rxb8 Rxf3+ Kg1 d3 Bd1 Rxh3 Rxf8+,black
d4 Nf6 c4 c5 d5 b5 Nd2 Bb7 Qb3 Qb6 e4 bxc4 Qc2 d6 Nxc4 Qc7 Nf3 e6 Qa4+ Nbd7 Na5 exd5 Nd2 dxe4 Bb5 Be7 Nxb7 Qxb7 O-O O-O Bc6 Qc7 Bxa8 Rxa8 Nxe4 d5 Ng5 h6 Nh3 Bd6 g3 Ne5 f4 Nc4 Qc2 Ne4 Nf2 Nxf2 Qxf2 Re8 Rd1 d4 b3 Nb6 Re1 Rxe1+ Qxe1 d3 Qe8+ Kh7 Bb2 c4 Qe3 c3 Qxd3+ Kg8 Qxc3 Bc5+ Kf1 f5 Rd1 Qb7 Qxc5 Qh1+ Qg1 Qf3+ Ke1 Qe4+ Kd2 Nd5 Qxa7 Qg2+ Kc1,white
d4 Nf6 Nf3 d5 g3 Bf5 Bg2 e6 O-O Be7 c4 c6 Nc3 O-O Qb3 Qb6 c5 Qxb3 axb3 Nbd7 b4 a6 Bf4 Rfe8 Nd2 Bd8 Nb3 Bc2 Na5 Bxa5 Rxa5 e5 dxe5 Nxe5 Bxe5 Rxe5 b5 d4 bxc6 bxc6 Na2 Rxe2 Bxc6 Rb8 Bf3 Rd2 c6 Bd3 c7 Rc8 Rc1 Rxb2 Rd1 Rb1 Rxb1 Bxb1 Rxa6 Ne8 Nb4 Rxc7 Nd5 Rc1+,black
d4 Nf6 c4 e6 Nc3 d5 cxd5 exd5 Bg5 c6 e3 Bf5 Qf3 Bg6 Bxf6 Qxf6 Qxf6 gxf6 Nh3 Bd6 Kd2 Kf8 Bd3 Rg8 Bxg6 fxg6 Ng1 Nd7 Nf3 f5 a3 Nf6 b4 Ne4+ Nxe4 fxe4 Ng1 Ke7 Ne2 Rgf8 Rhf1 b5 h3 a5 Kc3 axb4+ axb4 Rxa1 Rxa1 Rxf2 Ra7+ Kf6 Nf4 Bxf4 exf4 Rxg2 Rxh7 Rg3+ Kc2 Rd3 Rc7 Rxd4 Rxc6+ Kf5 Rc5 e3 Rc8,black
d4 Nf6 c4 e6 Nc3 d5 cxd5 exd5 Bg5 c6 e3 Bf5 Qf3 Bg6 Bxf6 Qxf6 Qxf6 gxf6 Nh3 Bd6 Kd2 Kf8 Bd3 Rg8 Bxg6 fxg6 Ng1 Nd7 Nf3 f5 a3 Nf6 b4 Ne4+ Nxe4 fxe4 Ng1 Ke7 Ne2 Rgf8 Rhf1 b5 h3 a5 Kc3 axb4+ axb4 Rxa1 Rxa1 Rxf2 Ra7+ Kf6 Nf4 Bxf4 exf4 Rxg2 Rxh7 Rg3+ Kc2 Rd3 Rc7 Rxd4 Rxc6+ Kf5 Rc5 e3 Rc8,black
e4 c5 b4 cxb4 a3 d5 e5 Nc6 d4 Qb6 Be3 Bf5 Bd3 Bxd3 Qxd3 e6 axb4 Nxb4 Qc3 Ne7 Qb3 Rc8 Na3 Nxc2+ Qxc2 Rxc2 Nxc2 Qb2 Kd1 Nc6 Ne2 Nb4 Rc1 Na2 Ra1 Be7 Nc1 Nb4 Nxb4 Qxa1 Nc2 Qa4 Nd3 O-O Kd2 Rc8 Rc1 a5 Nc5 Qc4 Nxb7 Bb4+,black
d4 g6 c4 Bg7 Nc3 d6 e4 Nc6 d5 Nd4 Be3 e5 h3 c5 dxc6 bxc6 Nf3 c5 Nd5 Ne7 Bg5 f6 Nxd4 fxg5 Nb5 O-O Nxe7+ Qxe7 Qxd6 Qxd6 Nxd6 Ba6 a4 Rad8 Nb5 Bb7 f3 a6 Nc3 Rd4 Nd5 Bxd5 cxd5 Rb8 Ra2 c4 Be2 Bf8 O-O Bc5 Kh2 Rb4 Rc1 Rd2 Bxc4 Be3 Bxa6 Bf4+ Kh1 Kf7 a5 Rbd4 Raa1 Rxb2 Rc7+ Kf6 Bf1 Rf2 Rc6+ Kg7 a6 Kh6 Rb6 Ra4 Rbb1 Rfa2 Rxa2 Rxa2 d6 Be3 Kh2 Rd2 Rb3 Bf4+ Kg1 Rxd6 a7 Rd8 Rb8 Be3+ Kh1 Rd1 a8=Q Rxf1+ Kh2 Kh5 Qa2 h6 Qe2,white
d4 Nf6 Bf4 g6 e3 Bg7 h4 d6 Be2 c5 c3 Qb6 Qb3 Be6 Qxb6 axb6 Na3 O-O Bf3 Nc6 Bg5 Bf5 Nc4 b5 Bxf6 Bxf6 Nb6 Ra6 Nd5 Bg7 h5 e5 dxc5 dxc5 g4 Bd3 Kd2 e4 Nf4 Ne5 Nxd3 Nxd3 Bxe4 Nxf2 Bxb7 Rd6+ Ke2 Nxh1 Bxh1 Rfd8 Nf3 b4,black
